"date","user","run","tube","lineage","replicate","rank","length","time","ramp_rate","ctmax"
2023-01-12,"RAB",5,1,"HA",4,3,0.705,63.3333333333333,0.172727272727263,36.296875
2023-01-12,"RAB",5,2,"AA",4,7,0.791,57.6666666666667,0.197552447552437,35.2592592592593
2023-01-12,"RAB",5,3,"AA",4,8,0.769,55.5666666666667,0.201398601398591,34.837962962963
2023-01-12,"RAB",5,4,"HA",4,1,0.71,67,0.179851398601388,36.9375
2023-01-12,"RAB",5,5,"AH",4,4,0.78,61.0166666666667,0.180594405594397,35.8916666666667
2023-01-12,"RAB",5,6,"HH",1,9,0.745,54.6333333333333,0.196503496503486,34.6291666666667
2023-01-12,"RAB",5,7,"AH",4,5,0.759,59.85,0.18444055944055,35.6840277777778
2023-01-12,"RAB",5,8,"HH",1,2,0.735,64.3,0.188461538461529,36.4375
2023-01-12,"RAB",5,9,"HH",1,6,0.673,58.4833333333333,0.197377622377612,35.4196428571429
2023-01-12,"RAB",5,10,"AH",4,10,0.782,53.4666666666667,0.197727272727264,34.3819444444444
